test_id,run_id,file_name,path,run_start_epoch,run_end_epoch,run_mid_epoch,t_fail_epoch,RUL_true_hours_start,RUL_true_hours_mid,RUL_true_hours_end,RUL_norm,Rds_on_proxy_end,DamageProxy_end,HI_label,Damage_label,life_stage
8,1,Test_8_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_1.mat,734195.353029734,734195.377326493,734195.365178114,734200.849639306,131.918629727326,131.627068617381,131.33550751023,0.995579682579317,131.532754863883,8434.87978985872,0.599556200518723,0.400443799481277,middle
8,2,Test_8_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_2.mat,734195.411815417,734195.436110891,734195.423963154,734200.849639306,130.507773335092,130.216227647848,129.924681957811,0.984885017577603,1.81095096658151,17838.1024332021,0.599556200518723,0.400443799481277,middle
8,3,Test_8_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_3.mat,734195.45273397,734195.477030671,734195.46488232,734200.849639306,129.525728062727,129.234167651273,128.94260723982,0.9774404684641,132.403773602591,26887.0043369195,0.599556200518723,0.400443799481277,middle
8,4,Test_8_run_4.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_4.mat,734195.503869676,734195.528168171,734195.516018923,734200.849639306,128.298471118324,128.006889179349,127.715307240374,0.968137006155687,1.8256970298143,36455.4940004791,0.457730056103541,0.542269943896459,middle
8,5,Test_8_run_5.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_5.mat,734195.599050556,734195.724043275,734195.661546916,734200.849639306,126.014130000025,124.51421737019,123.014304743148,0.932501383598488,131.841023800725,82988.1350120296,0.265617595050305,0.734382404949695,late
8,6,Test_8_run_6.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_6.mat,734199.633339039,734199.787559039,734199.710449039,734200.849639306,29.1912064058706,27.3405664069578,25.489926408045,0.19322461475481,138.45004926341,139841.273752451,0,1,late
8,7,Test_8_run_7.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_7.mat,734200.713238692,734200.849639306,734200.781438999,734200.849639306,3.27361473441124,1.63680736720562,0,0,109.60204799716,239640.484994409,0,1,late
9,1,Test_9_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_1.mat,734208.681908183,734208.706206551,734208.694057367,734210.877462454,52.693302503787,52.4017220875248,52.1101416712627,0.988932923069637,63.8003753965264,4589.13075747637,0.804200788979247,0.195799211020753,early
9,2,Test_9_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_2.mat,734209.250098877,734209.274395509,734209.262247193,734210.877462454,39.0567258484662,38.7651662640274,38.4736066795886,0.730142254356206,1.82153639584664,10204.0057180902,0.0391732182439227,0.960826781756077,late
9,3,Test_9_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_9_run_3.mat,734209.305985,734209.330282963,734209.318133981,734210.877462454,37.7154588969424,37.4238833421841,37.1323077846318,0.704687427438491,70.777911092467,15670.3804731688,0.0391732182439227,0.960826781756077,late
