test_id,windows,duration_h,rds_start,rds_end,rds_median_start,rds_median_end,rds_ratio,paper_quality,split
1,26,16.69738305453211,1.27510560748618,0.0587610054058707,1.37456170713509,1.45613040498138,1.0593416049806148,False,ignore
2,59,1.28396668843925,115.690934680767,0.0686299264172746,115.7757641429295,2.242312081594795,0.01936771567170636,False,ignore
3,37,0.510595821775496,1.25486349514159,3.52879135861168,2.514696679286055,2.971611907821605,1.1816979488219121,False,ignore
4,46,75.4059283202514,0.988508378131461,87.3931001981525,2.29425593569693,2.662692656738375,1.1605909416246207,False,ignore
5,40,3.2659724866971374,0.901714962672287,3.038942061291,2.2353369952492352,2.700309326608005,1.2080099476485988,False,ignore
6,228,9.166264439933002,0.88619572093931,84.0709151129671,1.1337963406493898,84.1225876417289,74.19550110167677,True,train
7,174,2.461099175736308,1.00046663847838,131.888422440183,1.970000151848895,132.1947563210105,67.10393204637185,True,train
8,846,131.8899583434686,1.07167968919545,2.43354095153325,1.820279224454025,2.44089670011288,1.3409463050071362,True,train
9,922,52.66486862394959,63.6466163147402,2.07150602795039,1.77658941859415,2.0711618579888746,1.1658078317430403,False,ignore
10,926,49.28660277463496,2.43627951996801,2.40157517862876,1.998452635502665,2.28689325493354,1.1443319768038058,True,train
11,925,66.20017749723047,1.12581286088574,1.95799903751198,1.799415654878515,1.962038788914005,1.0903755247402631,True,train
12,897,49.24346471764147,1.06556989444899,4.83022723908991,1.80951644579383,4.99475252748302,2.7602692084358678,True,train
13,158,3.481249440461397,1.09608767439698,2.51931612713434,1.81575929945656,2.45258434314548,1.3507210696260874,True,val
14,718,42.558064464479685,1.10560239549901,60.7298031023336,1.812961851142625,60.2177435698779,33.215118967851126,True,test
15,40,0.5541419265791774,1.30629965759418,3.16688283064847,2.78024749901084,3.0422674099516698,1.0942433761864911,False,ignore
16,40,0.5542727764695883,1.24535342245852,2.10645082172248,2.06528777418126,2.08519712816262,1.0096399902378024,False,ignore
17,40,0.5543269431218505,1.37967301258464,2.07041196864842,2.043926396912085,2.0540928414816797,1.0049739778227602,False,ignore
18,81,1.3120708325877786,1.30589211449851,3.48197994615926,2.22277050629699,3.463982211033555,1.5584074924605482,False,ignore
19,161,51.112826926633716,1.03630639341329,87.0499380562387,2.35766976556737,3.2039730440897003,1.3589575142720078,True,train
20,334,9.265537510626018,1.06455420357139,2.3057442887885,1.843993384246275,2.3152415072713,1.2555584673193638,True,val
21,39,0.5298549849539995,1.14418795298415,63.9513487680333,2.09260304307537,59.0498891064923,28.218390153782014,False,ignore
22,69,0.9713947176933289,0.99430062278504,1.95791422787223,1.93368188516051,1.957020083409585,1.012069305932986,False,ignore
23,253,15.112024440430105,1.14126286688006,2.05391494409903,1.85620493228823,2.176151381341865,1.1723659082508862,True,train
24,248,3.8810563925653696,1.07125932916798,2.70062554181318,1.7623944865373349,2.118803052676145,1.202229732821659,True,train
25,715,21.243253343738616,1.15299565323248,185.352785840782,1.764622514366375,188.682515843871,106.92514365409275,True,val
26,363,5.164941960945725,1.11692496234126,214.936689506404,1.8612995925356648,224.7370363537475,120.7420005113665,True,train
27,209,26.488400255329907,1.12234382014044,1.8081343563814,1.83973705736181,1.806414350738905,0.9818872449790788,False,ignore
28,88,1.5008771996945143,1.14753198902633,21.2671514361957,1.88361426786022,14.730979451208,7.820592412448834,False,ignore
29,377,5.355732503347099,1.15119543469164,205.279249606444,1.82375653948884,202.441242352369,111.00233938522788,True,train
30,509,7.303742207586765,1.17102074991288,1.91611070092452,1.795464927450865,1.918499706057635,1.0685253032380033,False,ignore
31,555,7.971389737911522,1.07629410559169,1.55277666901273,1.6022826626952749,1.5447371056536952,0.9640852651149706,False,ignore
32,353,5.011870823800564,1.09295901392826,18.9422717033361,1.67940728745188,18.9595570617915,11.289433601635928,True,val
33,452,6.485998056828976,1.07423807626147,2.48492238139507,1.67952656529284,1.7742097897024651,1.0563749489685008,False,ignore
34,1620,45.88672140240669,1.0982788216256,2.08464109547607,1.717683087461345,2.37830364316389,1.3845997905695813,True,train
35,366,5.2127469358965755,1.08137617016633,183.472174091398,1.851230444226815,183.228468695633,98.9765856903678,True,val
36,418,5.987434728071094,1.08008443939964,206.689047211336,1.821272190908135,204.53149575280298,112.30144333934958,True,train
37,454,6.615101401694119,1.08507488170907,2.99385682322669,1.815469910254125,2.747809578982845,1.513552807161763,True,test
38,343,4.864358902908862,1.11772130648585,228.794774308475,1.9168927533070201,226.5103099337625,118.16535356137545,True,train
39,59,0.8276100000366569,0.895267958665118,25.06050576883,1.20344743369799,6.8941220182995995,5.728644081374732,False,ignore
40,50,1.0860297102481127,18.529171522769,24.3824541551643,9.632685031168805,11.96271846693495,1.2418882614999636,False,ignore
41,500,7.225553328171372,1.13046117282399,1.82826891162605,1.8197404417859802,1.822505325475475,1.001519383548338,False,ignore
42,81,1.1268861126154661,6.93526663368981,5.72115909567171,3.05389133458213,5.66367896453139,1.8545777645707757,False,ignore
